,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
320,NTB,The Bank of N.T. Butterfield & Son Limited,1.37B,1.71%,396927,578.60M
321,FCF,First Commonwealth Financial Corporation,1.33B,1.46%,542223,467.47M
322,WT,"WisdomTree, Inc.",1.31B,3.72%,1531992,349.04M
323,SYBT,"Stock Yards Bancorp, Inc.",1.30B,1.93%,182446,325.76M
324,NBHC,National Bank Holdings Corporation,1.30B,1.46%,126252,417.57M
325,HOPE,"Hope Bancorp, Inc.",1.29B,1.51%,1441469,542.34M
326,NMFC,New Mountain Finance Corporation,1.26B,0.41%,833566,374.84M
327,BUSE,First Busey Corporation,1.25B,1.02%,351790,439.44M
328,STEL,"Stellar Bancorp, Inc.",1.24B,1.42%,163258,452.38M
329,NRDS,"NerdWallet, Inc.",1.24B,-4.73%,650858,599.40M
330,WABC,Westamerica Bancorporation,1.24B,1.21%,293179,324.80M
331,PWP,Perella Weinberg Partners,1.23B,1.89%,458154,648.65M
332,CASH,"Pathward Financial, Inc.",1.22B,-0.27%,433582,659.96M
333,SRCE,1st Source Corporation,1.21B,0.67%,255201,363.40M
334,SAFT,"Safety Insurance Group, Inc.",1.19B,2.73%,186183,930.96M
335,NIC,"Nicolet Bankshares, Inc.",1.19B,2.68%,48058,272.50M
336,TRUP,"Trupanion, Inc.",1.19B,-0.88%,681399,1.11B
337,STBA,"S&T Bancorp, Inc.",1.15B,1.23%,666312,389.14M
338,LMND,"Lemonade, Inc.",1.15B,-0.55%,993903,429.80M
339,CET,Central Securities Corp.,1.13B,0.38%,38704,57.37M
340,EIG,"Employers Holdings, Inc.",1.12B,0.59%,107050,850.90M
341,HCI,"HCI Group, Inc.",1.12B,-0.39%,136868,550.67M
342,TCBK,TriCo Bancshares,1.11B,3.20%,310543,394.09M
343,ECPG,"Encore Capital Group, Inc.",1.10B,-1.16%,291776,1.22B
344,PFS,"Provident Financial Services, Inc.",1.07B,2.54%,1245853,451.38M
345,CSWC,Capital Southwest Corporation,1.07B,0.89%,709211,168.90M
346,BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",1.03B,-0.04%,201934,166.67M
347,BCSF,"Bain Capital Specialty Finance, Inc.",1.01B,0.51%,363893,297.79M
348,VBTX,"Veritex Holdings, Inc.",1.00B,1.97%,2206283,377.75M
349,SCRM,Screaming Eagle Acquisition Corp.,1.00B,-,770189,-
350,PFBC,Preferred Bank,984.87M,0.39%,489861,351.76M
351,PEBO,Peoples Bancorp Inc.,982.08M,1.90%,336527,411.61M
352,CVII,Churchill Capital Corp VII,976.08M,0.09%,3280,-
353,BBDC,"Barings BDC, Inc.",969.45M,0.98%,540589,289.20M
354,AMSF,"AMERISAFE, Inc.",968.42M,-0.16%,891014,306.85M
355,GABC,"German American Bancorp, Inc.",943.46M,0.34%,984440,248.14M
356,QCRH,"QCR Holdings, Inc.",939.90M,-,125416,337.15M
357,CIFR,Cipher Mining Inc.,939.88M,11.36%,9896792,-
358,PX,"P10, Inc.",937.44M,1.48%,653458,241.73M
359,BHLB,"Berkshire Hills Bancorp, Inc.",936.18M,2.24%,468701,411.83M
360,PRAA,"PRA Group, Inc.",934.48M,0.22%,405124,802.55M
361,MFIC,MidCap Financial Investment Corporation,931.82M,0.56%,579215,276.52M
362,SII,Sprott Inc.,931.77M,1.01%,93673,169.02M
363,SASR,"Sandy Spring Bancorp, Inc.",929.36M,1.26%,1973869,439.19M
