,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
170,OB,Outbrain Inc.,187.39M,-3.40%,335378,935.82M
171,TSQ,"Townsquare Media, Inc.",180.89M,2.03%,159534,459.72M
172,TRVG,trivago N.V.,177.68M,1.57%,52095,538.92M
173,RDCM,RADCOM Ltd.,171.07M,1.88%,31450,51.60M
174,LVO,"LiveOne, Inc.",160.77M,1.10%,375163,113.09M
175,SGA,"Saga Communications, Inc.",142.07M,0.44%,15385,113.75M
176,EVC,Entravision Communications Corporation,140.93M,1.45%,1543665,1.08B
177,TZOO,Travelzoo,139.44M,1.80%,200591,81.94M
178,SKLZ,Skillz Inc.,139.30M,-1.72%,324978,163.66M
179,CXDO,"Crexendo, Inc.",125.90M,-1.02%,350762,53.20M
180,WIMI,WiMi Hologram Cloud Inc.,124.86M,20.14%,27217655,70.82M
181,FNGR,"FingerMotion, Inc.",117.70M,-4.46%,237945,40.40M
182,BRAG,Bragg Gaming Group Inc.,116.47M,-0.99%,17208,99.83M
183,HRYU,"Hanryu Holdings, Inc.",114.06M,2.33%,273173,1.37M
184,GMGI,"Golden Matrix Group, Inc.",108.02M,4.07%,58225,45.24M
185,UONE,"Urban One, Inc.",100.75M,-2.79%,264571,489.39M
186,XNET,Xunlei Limited,99.28M,-1.62%,56356,363.72M
187,KUKE,Kuke Music Holding Limited,83.46M,2.01%,29759,-
188,SCOR,"comScore, Inc.",75.94M,0.19%,103146,371.34M
189,GAIA,"Gaia, Inc.",74.70M,-,30154,79.29M
190,CMCM,Cheetah Mobile Inc.,73.38M,-0.40%,13385,126.84M
191,BHAT,Blue Hat Interactive Entertainment Technology,64.82M,2.70%,105389,51.69M
192,MNY,MoneyHero Limited,64.74M,-4.17%,185556,123.27M
193,LEE,"Lee Enterprises, Incorporated",63.64M,9.56%,112475,661.68M
194,RDI,"Reading International, Inc.",62.87M,6.82%,82085,224.63M
195,INUV,"Inuvo, Inc.",61.15M,-6.32%,334597,73.91M
196,MATH,Metalpha Technology Holding Limited,60.96M,2.40%,51219,5.69M
197,CMLS,Cumulus Media Inc.,59.53M,2.24%,159641,844.55M
198,BZFD,"BuzzFeed, Inc.",59.27M,-1.43%,874744,352.98M
199,KORE,"KORE Group Holdings, Inc.",57.67M,9.79%,82783,266.66M
200,MCHX,"Marchex, Inc.",56.31M,-,84016,49.81M
201,BODI,Beachbody Company Inc,55.60M,-4.79%,40532,527.11M
202,HHS,"Harte Hanks, Inc.",55.06M,0.26%,37637,196.78M
203,STCN,"Steel Connect, Inc.",53.65M,3.19%,32878,179.07M
204,UCL,uCloudlink Group Inc.,53.62M,-2.07%,6662,27.01M
205,ZDGE,"Zedge, Inc.",50.24M,-18.80%,194202,27.42M
206,TOON,Kartoon Studios Inc.,45.38M,-0.78%,88135,54.35M
207,AREN,"The Arena Group Holdings, Inc.",45.10M,-16.34%,123645,214.52M
208,FLNT,"Fluent, Inc.",43.84M,-1.76%,93231,310.30M
209,SJ,Scienjoy Holding Corporation,42.89M,-4.81%,76784,216.01M
210,ABLV,Able View Inc.,42.85M,2.66%,4150,226.92M
211,ICLK,iClick Interactive Asia Group Limited,38.12M,0.78%,8666,150.76M
212,PODC,PodcastOne Inc,38.05M,-8.26%,80716,-
213,SNAL,"Snail, Inc.",37.16M,0.99%,1549,47.64M
214,AGAE,Allied Gaming & Entertainment Inc.,34.63M,2.13%,8747,6.80M
215,IZEA,"IZEA Worldwide, Inc.",31.76M,0.19%,20516,36.12M
216,CHR,"Cheer Holding, Inc.",30.20M,-7.00%,47777,152.33M
217,LPTV,"Loop Media, Inc.",28.89M,33.30%,652558,26.99M
218,CURI,CuriosityStream Inc.,28.48M,0.77%,53640,56.61M
219,ANGH,Anghami Inc.,27.35M,12.23%,246096,46.25M
220,MMV,MultiMetaVerse Holdings Limited,26.92M,8.02%,78091,9.79M
221,STBX,Starbox Group Holdings Ltd.,26.55M,11.94%,263939,11.74M
222,BBGI,"Beasley Broadcast Group, Inc.",24.79M,-4.56%,42917,247.11M
223,NCTY,The9 Limited,24.73M,-0.93%,30048,-
224,HOFV,Hall of Fame Resort & Entertainment Company,23.94M,-2.14%,11693,20.52M
225,GAME,GameSquare Holdings Inc,23.90M,8.89%,124308,-
226,DLPN,"Dolphin Entertainment, Inc.",23.77M,-0.76%,29269,42.24M
227,FENG,Phoenix New Media Limited,21.04M,-3.91%,17680,97.61M
228,DALN,DallasNews Corporation,20.82M,2.83%,16123,139.70M
229,SOGP,Sound Group Inc,20.20M,-1.14%,39588,307.65M
230,BREA,Brera Holdings PLC,19.37M,7.59%,326762,120.79K
231,TRUG,Trugolf Inc,19.10M,-7.69%,127474,13.79M
232,CNVS,Cineverse Corp.,16.66M,-,46113,51.82M
233,EDUC,Educational Development Corporation,16.37M,-2.62%,22750,57.04M
234,FAZE,FaZe Holdings Inc.,14.12M,-,411115,58.15M
235,GIGM,GigaMedia Limited,14.04M,8.94%,16738,4.52M
236,KRKR,36Kr Holdings Inc.,14.04M,-0.79%,22535,45.86M
