,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
218,MMLP,Martin Midstream Partners L.P.,103.35M,1.92%,52329,797.96M
219,DLNG,Dynagas LNG Partners LP,102.86M,-1.82%,79250,158.59M
220,CRT,Cross Timbers Royalty Trust,102.30M,-0.98%,16334,12.71M
221,BATL,Battalion Oil Corporation,97.09M,0.51%,34359,250.32M
222,DTI,Drilling Tools International Corp.,89.90M,-6.25%,16831,-
223,PFIE,"Profire Energy, Inc.",82.41M,-4.57%,237128,58.21M
224,SND,"Smart Sand, Inc.",82.36M,1.87%,165800,295.97M
225,IMPP,Imperial Petroleum Inc.,79.88M,-2.83%,332321,183.73M
226,SLNG,"Stabilis Solutions, Inc.",74.90M,-2.93%,5919,73.11M
227,NINE,"Nine Energy Service, Inc.",74.89M,0.94%,485542,609.53M
228,PED,PEDEVCO Corp.,68.93M,-0.28%,47355,29.97M
229,AE,"Adams Resources & Energy, Inc.",62.91M,-2.08%,20336,2.75B
230,PRT,PermRock Royalty Trust,54.02M,1.13%,38139,9.03M
231,NRT,North European Oil Royalty Trust,49.35M,0.19%,31017,12.68M
232,BPT,BP Prudhoe Bay Royalty Trust,49.00M,4.80%,201010,22.11M
233,PVL,Permianville Royalty Trust,46.86M,-2.11%,31212,15.17M
234,DWSN,Dawson Geophysical Company,43.14M,5.04%,1814,87.25M
235,NCSM,"NCS Multistage Holdings, Inc.",38.18M,-3.43%,9824,142.47M
236,SDPI,"Superior Drilling Products, Inc.",27.30M,2.30%,75073,21.95M
237,ICD,"Independence Contract Drilling, Inc.",27.02M,-1.72%,20308,210.11M
238,CKX,"CKX Lands, Inc.",26.65M,3.51%,2016,1.08M
239,BANL,CBL International Limited,26.25M,3.92%,9734,419.17M
240,USEG,U.S. Energy Corp.,25.76M,-,12913,35.37M
241,VIVK,"Vivakor, Inc.",24.65M,-10.55%,61095,61.79M
242,BRN,"Barnwell Industries, Inc.",23.87M,-0.84%,7283,23.91M
243,CEI,"Camber Energy, Inc.",22.04M,-2.86%,1484064,10.35M
244,MXC,Mexco Energy Corporation,21.63M,-1.43%,3011,7.01M
245,INDO,Indonesia Energy Corporation Limited,21.50M,6.16%,44785,3.61M
246,RCON,"Recon Technology, Ltd.",20.51M,3.77%,70975,9.27M
247,MTR,Mesa Royalty Trust,18.74M,1.18%,3898,4.13M
248,HUSA,Houston American Energy Corp.,14.51M,-,127948,872.18K
249,MARPS,Marine Petroleum Trust,8.00M,-1.72%,3459,1.18M
250,ENSV,Enservco Corporation,5.25M,-3.53%,129397,22.08M
251,TPET,Trio Petroleum Corp.,3.35M,-3.01%,536472,-
