,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
340,SRI,"Stoneridge, Inc.",460.15M,0.30%,127321,975.82M
341,JOUT,Johnson Outdoors Inc.,441.68M,1.82%,89631,624.15M
342,LIND,"Lindblad Expeditions Holdings, Inc.",439.72M,-1.19%,388515,569.54M
343,HNST,"The Honest Company, Inc.",436.31M,-5.49%,1108111,344.37M
344,NEGG,"Newegg Commerce, Inc.",425.74M,-2.68%,217350,-
345,BBW,"Build-A-Bear Workshop, Inc.",415.15M,3.24%,665725,481.95M
346,CURV,Torrid Holdings Inc.,399.76M,-8.33%,74147,1.19B
347,CRMT,"America's Car-Mart, Inc.",387.39M,3.11%,1091397,1.42B
348,ONEW,OneWater Marine Inc.,384.16M,3.37%,222873,1.93B
349,CSV,"Carriage Services, Inc.",384.14M,0.83%,176121,382.52M
350,RERE,ATRenew Inc.,378.79M,-,1259183,1.83B
351,MED,"Medifast, Inc.",376.66M,5.90%,566748,1.07B
352,MPX,Marine Products Corporation,360.01M,1.06%,51859,383.73M
353,MCFT,"MasterCraft Boat Holdings, Inc.",353.30M,4.27%,161771,537.04M
354,LOVE,The Lovesac Company,348.81M,0.44%,187272,688.24M
355,SNBR,Sleep Number Corporation,344.93M,-7.65%,900095,1.89B
356,AGS,"PlayAGS, Inc.",340.84M,-2.07%,278925,356.54M
357,PBPB,Potbelly Corporation,338.05M,2.23%,399245,491.41M
358,UHG,"United Homes Group, Inc.",329.79M,1.76%,20655,419.74M
359,REAL,"The RealReal, Inc.",327.69M,0.96%,1912886,549.30M
360,GAMB,Gambling.com Group Limited,327.01M,1.40%,134000,97.47M
361,FNKO,"Funko, Inc.",324.25M,4.42%,510930,1.10B
362,CDRO,"Codere Online Luxembourg, S.A.",317.09M,-0.43%,38941,152.88M
