,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
271,B,Barnes Group Inc.,1.87B,-0.76%,680579,1.45B
272,AZZ,AZZ Inc.,1.80B,1.10%,229377,1.51B
273,SFL,SFL Corporation Ltd.,1.80B,-2.14%,819731,752.29M
274,EPAC,Enerpac Tool Group Corp.,1.79B,3.94%,412787,600.79M
275,MRCY,"Mercury Systems, Inc.",1.77B,-2.24%,844775,895.17M
276,CODI,Compass Diversified,1.76B,0.94%,200960,2.06B
277,HURN,Huron Consulting Group Inc.,1.75B,0.54%,237577,1.40B
278,GIC,Global Industrial Company,1.69B,0.43%,144848,1.27B
279,UPWK,Upwork Inc.,1.68B,-2.37%,2469381,689.14M
280,ULCC,"Frontier Group Holdings, Inc.",1.64B,0.68%,1582174,3.59B
281,JELD,"JELD-WEN Holding, Inc.",1.59B,-0.05%,326456,4.30B
282,NVEE,"NV5 Global, Inc.",1.58B,0.04%,107572,861.74M
283,HOLI,Hollysys Automation Technologies Ltd.,1.58B,-0.35%,379281,786.22M
284,GEO,"The GEO Group, Inc.",1.57B,5.37%,3851082,2.41B
285,BBU,Brookfield Business Partners L.P.,1.57B,-1.99%,12317,55.07B
286,ACHR,Archer Aviation Inc.,1.52B,2.66%,14200228,-
287,MRTN,"Marten Transport, Ltd.",1.51B,-0.11%,2736861,1.13B
288,DSGR,"Distribution Solutions Group, Inc.",1.50B,4.82%,112795,1.57B
289,GBX,"The Greenbrier Companies, Inc.",1.49B,0.81%,241819,3.99B
290,SCS,Steelcase Inc.,1.44B,1.11%,458912,3.19B
291,NSSC,"Napco Security Technologies, Inc.",1.43B,-1.12%,491393,177.41M
292,HLIO,"Helios Technologies, Inc.",1.41B,-0.71%,184323,835.60M
293,PRG,"PROG Holdings, Inc.",1.40B,0.13%,473099,2.41B
294,EVEX,"Eve Holding, Inc.",1.40B,4.83%,90680,-
295,VVX,"V2X, Inc.",1.39B,-0.56%,115286,3.96B
296,DAC,Danaos Corporation,1.36B,0.13%,96749,973.58M
297,CDRE,"Cadre Holdings, Inc.",1.34B,-2.30%,1680676,482.53M
298,ENVX,Enovix Corporation,1.34B,1.03%,4944910,7.64M
299,KFRC,Kforce Inc.,1.33B,0.51%,285400,1.53B
300,CMRE,Costamare Inc.,1.32B,-0.09%,276251,1.51B
301,KAMN,Kaman Corporation,1.30B,0.04%,395321,775.85M
302,CDLR,Cadeler A/S,1.30B,5.03%,371730,-
303,FLYX,"flyExclusive, Inc.",1.28B,-7.81%,37400,497.41M
304,LNN,Lindsay Corporation,1.28B,1.54%,99036,659.28M
305,CTOS,"Custom Truck One Source, Inc.",1.28B,0.94%,677701,1.87B
306,NMM,Navios Maritime Partners L.P.,1.27B,0.17%,171164,1.35B
307,APOG,"Apogee Enterprises, Inc.",1.25B,1.29%,379749,1.40B
308,ZIP,"ZipRecruiter, Inc.",1.24B,-8.05%,823586,645.72M
309,WNC,Wabash National Corporation,1.24B,5.33%,719953,2.54B
310,ALGT,Allegiant Travel Company,1.23B,0.84%,596213,2.51B
311,ASPN,"Aspen Aerogels, Inc.",1.20B,0.07%,937612,238.72M
312,VSEC,VSE Corporation,1.19B,0.69%,135843,860.49M
313,CMCO,Columbus McKinnon Corporation,1.18B,1.61%,140064,1.00B
314,ARLO,"Arlo Technologies, Inc.",1.16B,1.32%,1243758,491.18M
315,NX,Quanex Building Products Corporation,1.16B,2.77%,162522,1.11B
316,MEG,"Montrose Environmental Group, Inc.",1.15B,-2.29%,248734,624.21M
317,ZIM,ZIM Integrated Shipping Services Ltd.,1.11B,1.72%,4515189,5.16B
318,AMRC,"Ameresco, Inc.",1.06B,5.30%,1026671,1.37B
319,TGI,"Triumph Group, Inc.",1.05B,-0.29%,407232,1.36B
320,TDCX,TDCX Inc.,1.04B,0.56%,431300,498.75M
321,RYI,Ryerson Holding Corporation,1.04B,2.29%,209311,5.11B
322,SP,SP Plus Corporation,1.02B,-0.06%,122738,1.78B
323,HY,"Hyster-Yale Materials Handling, Inc.",1.01B,1.23%,65177,4.12B
324,BXC,BlueLinx Holdings Inc.,1.00B,0.31%,178735,3.14B
325,CPLP,Capital Product Partners L.P.,997.03M,-1.49%,50610,360.59M
326,TRNS,"Transcat, Inc.",991.07M,-,61426,250.64M
327,CRAI,"CRA International, Inc.",983.82M,0.36%,56576,623.98M
328,THR,"Thermon Group Holdings, Inc.",976.38M,5.70%,256997,489.46M
329,REVG,"REV Group, Inc.",965.56M,-,1209920,2.64B
330,BV,"BrightView Holdings, Inc.",962.88M,-,1137033,2.79B
331,ECO,Okeanis Eco Tankers Corp.,956.81M,3.84%,169015,413.10M
332,HRT,HireRight Holdings Corporation,956.41M,-0.21%,210845,721.88M
333,GRC,The Gorman-Rupp Company,955.39M,1.48%,64787,659.51M
334,HTLD,"Heartland Express, Inc.",944.65M,-1.59%,523207,1.21B
335,EH,EHang Holdings Limited,914.95M,12.93%,3260711,10.52M
336,ASTE,"Astec Industries, Inc.",910.65M,1.50%,377408,1.34B
337,TH,Target Hospitality Corp.,899.65M,-0.45%,798261,563.61M
338,ULH,"Universal Logistics Holdings, Inc.",898.92M,1.58%,49469,1.73B
339,TWI,"Titan International, Inc.",890.54M,1.31%,300004,1.82B
340,GNK,Genco Shipping & Trading Limited,875.55M,-0.34%,579718,383.83M
341,AZUL,Azul S.A.,875.33M,5.96%,1525909,3.01B
342,PRLB,"Proto Labs, Inc.",874.03M,0.41%,140708,503.88M
343,FWRD,Forward Air Corporation,873.10M,-1.20%,3724879,1.72B
344,KELYB,"Kelly Services, Inc.",869.82M,2.35%,5,4.84B
345,SKYH,Sky Harbour Group Corporation,861.96M,-0.54%,124543,5.95M
346,MATW,Matthews International Corporation,852.35M,3.82%,481371,1.88B
347,PCT,"PureCycle Technologies, Inc.",850.43M,2.69%,2595977,-
348,NAT,Nordic American Tankers Limited,847.71M,-,3471092,339.34M
349,KRNT,Kornit Digital Ltd.,844.13M,-0.29%,156377,219.79M
350,KELYA,"Kelly Services, Inc.",841.39M,2.43%,1136306,4.84B
351,NKLA,Nikola Corporation,837.30M,7.30%,77304666,35.84M
352,VLRS,"Controladora Vuela Compañía de Aviación, SAB de CV",830.77M,-1.53%,507471,2.85B
353,XMTR,"Xometry, Inc.",821.94M,-2.84%,588756,463.41M
354,BLDP,Ballard Power Systems Inc.,817.11M,1.83%,3661004,102.37M
355,ERII,"Energy Recovery, Inc.",808.80M,4.59%,1514676,128.35M
356,SPLP,Steel Partners Holdings L.P.,807.95M,2.58%,48180,1.91B
357,ATSG,"Air Transport Services Group, Inc.",805.26M,-1.22%,1136242,2.07B
358,SWBI,"Smith & Wesson Brands, Inc.",800.19M,1.04%,749063,521.46M
359,DXPE,"DXP Enterprises, Inc.",798.50M,-0.39%,360999,1.68B
360,RGR,"Sturm, Ruger & Company, Inc.",798.07M,1.55%,216292,543.77M
361,BBSI,"Barrett Business Services, Inc.",785.54M,0.53%,65107,1.07B
362,HAYN,"Haynes International, Inc.",761.29M,-0.30%,245032,604.64M
363,CECO,CECO Environmental Corp.,752.08M,-2.02%,268603,544.85M
364,VVI,Viad Corp,749.09M,3.09%,197481,1.24B
365,DCO,Ducommun Incorporated,736.89M,-0.16%,188439,756.99M
366,IRS,IRSA Inversiones y Representaciones SA,727.49M,-2.82%,113773,348.50M
367,CYRX,"Cryoport, Inc.",721.44M,3.05%,863665,233.26M
368,PBI,Pitney Bowes Inc.,716.71M,1.23%,1209024,3.27B
369,SNCY,"Sun Country Airlines Holdings, Inc.",716.23M,0.37%,1553034,1.05B
